industry,segment,year,month,date,employees,hours,earnings
education and healthcare,total,2018,M02,2/1/18,23500,33,26.7
education and healthcare,total,2018,M03,3/1/18,23530,32.9,26.86
education and healthcare,total,2018,M04,4/1/18,23547,32.9,26.83
education and healthcare,total,2018,M05,5/1/18,23590,32.9,26.93
education and healthcare,total,2018,M06,6/1/18,23617,33,27.03
education and healthcare,total,2018,M07,7/1/18,23644,32.9,27.04
education and healthcare,total,2018,M08,8/1/18,23693,33,27.13
education and healthcare,total,2018,M09,9/1/18,23707,32.9,27.15
education and healthcare,total,2018,M10,10/1/18,23751,32.9,27.18
education and healthcare,total,2018,M11,11/1/18,23768,32.9,27.22
education and healthcare,total,2018,M12,12/1/18,23854,33,27.3
education and healthcare,total,2019,M01,1/1/19,23906,33,27.42
education and healthcare,total,2019,M02,2/1/19,23936,33,27.48
education and healthcare,total,2019,M03,3/1/19,23996,33,27.58
education and healthcare,total,2019,M04,4/1/19,24058,33,27.43
education and healthcare,total,2019,M05,5/1/19,24082,33,27.39
education and healthcare,total,2019,M06,6/1/19,24128,33,27.55
education and healthcare,total,2019,M07,7/1/19,24177,33,27.66
education and healthcare,total,2019,M08,8/1/19,24234,33,27.71
education and healthcare,total,2019,M09,9/1/19,24279,32.9,27.72
education and healthcare,total,2019,M10,10/1/19,24312,33,27.82
education and healthcare,total,2019,M11,11/1/19,24390,33,27.87
education and healthcare,total,2019,M12,12/1/19,24437,33,27.83
education and healthcare,total,2020,M01,1/1/20,24531,33,27.85
education and healthcare,total,2020,M02,2/1/20,24598,33.1,27.95
education and healthcare,total,2020,M03,3/1/20,24360,33,28.13
education and healthcare,total,2020,M04,4/1/20,21759,32.7,28.34
education and healthcare,total,2020,M05,5/1/20,22149,32.9,28.48
education and healthcare,total,2020,M06,6/1/20,22699,33.2,28.53
education and healthcare,total,2020,M07,7/1/20,22889,33.4,28.59
education and healthcare,total,2020,M08,8/1/20,23088,33.4,28.67
education and healthcare,total,2020,M09,9/1/20,23184,33.4,28.7
education and healthcare,total,2020,M10,10/1/20,23277,33.5,28.74
education and healthcare,total,2020,M11,11/1/20,23346,33.4,28.94
education and healthcare,total,2020,M12,12/1/20,23350,33.5,29.32
education and healthcare,total,2021,M01,1/1/21,23378,33.7,29.31
education and healthcare,total,2021,M02,2/1/21,23454,33.3,29.4
education and healthcare,total,2021,M03,3/1/21,23541,33.5,29.46
education and healthcare,total,2021,M04,4/1/21,23582,33.3,29.65
education and healthcare,total,2021,M05,5/1/21,23620,33.4,29.74
education and healthcare,total,2021,M06,6/1/21,23640,33.4,29.9
education and healthcare,total,2021,M07,7/1/21,23699,33.4,30.09
education and healthcare,total,2021,M08,8/1/21,23728,33.4,30.25
education and healthcare,total,2021,M09,9/1/21,23737,33.3,30.55
education and healthcare,total,2021,M10,10/1/21,23805,33.4,30.71
education and healthcare,total,2021,M11,11/1/21,23874,33.4,30.88
education and healthcare,total,2021,M12,12/1/21,23939,33.4,31.01
education and healthcare,total,2022,M01,1/1/22,23972,33.4,31.22
education and healthcare,total,2022,M02,2/1/22,24073,33.5,31.27
education and healthcare,total,2022,M03,3/1/22,24124,33.5,31.27
education and healthcare,total,2022,M04,4/1/22,24184,33.5,31.35
education and healthcare,total,2022,M05,5/1/22,24258,33.5,31.44
leisure and hospitality,total,2006,M03,3/1/06,13034,26.2,11.49
leisure and hospitality,total,2006,M04,4/1/06,13074,26.2,11.56
leisure and hospitality,total,2006,M05,5/1/06,13052,26.2,11.64
leisure and hospitality,total,2006,M06,6/1/06,13061,26.2,11.7
leisure and hospitality,total,2006,M07,7/1/06,13130,26.3,11.75
leisure and hospitality,total,2006,M08,8/1/06,13152,26.2,11.78
leisure and hospitality,total,2006,M09,9/1/06,13150,26.2,11.84
leisure and hospitality,total,2006,M10,10/1/06,13187,26.2,11.93
leisure and hospitality,total,2006,M11,11/1/06,13251,26.2,11.97
leisure and hospitality,total,2006,M12,12/1/06,13292,26.4,12
leisure and hospitality,total,2007,M01,1/1/07,13338,26.2,12.07
leisure and hospitality,total,2007,M02,2/1/07,13361,26,12.14
leisure and hospitality,total,2007,M03,3/1/07,13363,26.1,12.18
leisure and hospitality,total,2007,M04,4/1/07,13375,26.1,12.27
leisure and hospitality,total,2007,M05,5/1/07,13404,26.1,12.34
leisure and hospitality,total,2007,M06,6/1/07,13413,26.1,12.42
leisure and hospitality,total,2007,M07,7/1/07,13417,26.1,12.51
leisure and hospitality,total,2007,M08,8/1/07,13419,26,12.49
leisure and hospitality,total,2007,M09,9/1/07,13461,26,12.5
leisure and hospitality,total,2007,M10,10/1/07,13499,26,12.53
leisure and hospitality,total,2007,M11,11/1/07,13535,26,12.57
leisure and hospitality,total,2007,M12,12/1/07,13550,26,12.72
leisure and hospitality,total,2008,M01,1/1/08,13542,26,12.62
leisure and hospitality,total,2008,M02,2/1/08,13543,25.9,12.69
leisure and hospitality,total,2008,M03,3/1/08,13531,25.9,12.74
leisure and hospitality,total,2008,M04,4/1/08,13511,25.9,12.76
leisure and hospitality,total,2008,M05,5/1/08,13498,26,12.77
leisure and hospitality,total,2008,M06,6/1/08,13482,25.9,12.79
leisure and hospitality,total,2008,M07,7/1/08,13463,25.8,12.79
leisure and hospitality,total,2008,M08,8/1/08,13431,25.8,12.83
leisure and hospitality,total,2008,M09,9/1/08,13379,25.8,12.84
leisure and hospitality,total,2008,M10,10/1/08,13352,25.9,12.8
leisure and hospitality,total,2008,M11,11/1/08,13300,25.7,12.82
leisure and hospitality,total,2008,M12,12/1/08,13256,25.6,12.84
leisure and hospitality,total,2009,M01,1/1/09,13222,25.6,12.86
leisure and hospitality,total,2009,M02,2/1/09,13193,26,12.86
leisure and hospitality,total,2009,M03,3/1/09,13127,25.5,12.88
leisure and hospitality,total,2009,M04,4/1/09,13056,25.4,12.89
leisure and hospitality,total,2009,M05,5/1/09,13106,25.5,12.86
leisure and hospitality,total,2009,M06,6/1/09,13076,25.5,12.92
leisure and hospitality,total,2009,M07,7/1/09,13078,25.5,12.97
leisure and hospitality,total,2009,M08,8/1/09,13046,25.6,13
leisure and hospitality,total,2009,M09,9/1/09,13054,25.6,13.04
leisure and hospitality,total,2009,M10,10/1/09,12995,25.5,13.09
leisure and hospitality,total,2009,M11,11/1/09,12986,25.6,13.16
leisure and hospitality,total,2009,M12,12/1/09,12944,25.6,13.14
leisure and hospitality,total,2010,M01,1/1/10,12932,25.6,13.13
leisure and hospitality,total,2010,M02,2/1/10,12927,25.7,13.09
leisure and hospitality,total,2010,M03,3/1/10,12943,25.7,13.09
leisure and hospitality,total,2010,M04,4/1/10,12979,25.7,13.06
leisure and hospitality,total,2010,M05,5/1/10,13012,25.8,13.08
leisure and hospitality,total,2010,M06,6/1/10,13034,25.7,13.07
leisure and hospitality,total,2010,M07,7/1/10,13048,25.8,13.08
leisure and hospitality,total,2010,M08,8/1/10,13081,25.9,13.09
leisure and hospitality,total,2010,M09,9/1/10,13137,25.8,13.09
leisure and hospitality,total,2010,M10,10/1/10,13127,25.9,13.1
leisure and hospitality,total,2010,M11,11/1/10,13126,25.9,13.09
leisure and hospitality,total,2010,M12,12/1/10,13157,25.8,13.1
leisure and hospitality,total,2011,M01,1/1/11,13149,25.8,13.18
leisure and hospitality,total,2011,M02,2/1/11,13188,25.9,13.16
leisure and hospitality,total,2011,M03,3/1/11,13247,25.8,13.18
leisure and hospitality,total,2011,M04,4/1/11,13298,26,13.2
leisure and hospitality,total,2011,M05,5/1/11,13293,25.8,13.25
leisure and hospitality,total,2011,M06,6/1/11,13343,25.8,13.22
leisure and hospitality,total,2011,M07,7/1/11,13370,26,13.22
leisure and hospitality,total,2011,M08,8/1/11,13395,25.9,13.2
leisure and hospitality,total,2011,M09,9/1/11,13426,25.9,13.26
leisure and hospitality,total,2011,M10,10/1/11,13464,26.1,13.3
leisure and hospitality,total,2011,M11,11/1/11,13511,26.1,13.31
leisure and hospitality,total,2011,M12,12/1/11,13538,26.1,13.33
leisure and hospitality,total,2012,M01,1/1/12,13600,26.2,13.34
leisure and hospitality,total,2012,M02,2/1/12,13641,26,13.34
leisure and hospitality,total,2012,M03,3/1/12,13706,26.1,13.35
leisure and hospitality,total,2012,M04,4/1/12,13709,26.1,13.37
leisure and hospitality,total,2012,M05,5/1/12,13705,26,13.33
leisure and hospitality,total,2012,M06,6/1/12,13702,26.1,13.39
leisure and hospitality,total,2012,M07,7/1/12,13735,26.1,13.4
leisure and hospitality,total,2012,M08,8/1/12,13804,26,13.38
leisure and hospitality,total,2012,M09,9/1/12,13872,26.1,13.4
leisure and hospitality,total,2012,M10,10/1/12,13883,26,13.37
leisure and hospitality,total,2012,M11,11/1/12,13910,26,13.41
leisure and hospitality,total,2012,M12,12/1/12,13978,26.1,13.39
leisure and hospitality,total,2013,M01,1/1/13,14037,26,13.4
leisure and hospitality,total,2013,M02,2/1/13,14082,26.1,13.41
leisure and hospitality,total,2013,M03,3/1/13,14113,26.2,13.43
leisure and hospitality,total,2013,M04,4/1/13,14152,26,13.44
leisure and hospitality,total,2013,M05,5/1/13,14193,26,13.46
leisure and hospitality,total,2013,M06,6/1/13,14252,26,13.47
leisure and hospitality,total,2013,M07,7/1/13,14288,25.9,13.51
leisure and hospitality,total,2013,M08,8/1/13,14327,26,13.53
leisure and hospitality,total,2013,M09,9/1/13,14339,26,13.55
leisure and hospitality,total,2013,M10,10/1/13,14395,26,13.57
leisure and hospitality,total,2013,M11,11/1/13,14432,25.9,13.6
leisure and hospitality,total,2013,M12,12/1/13,14454,25.8,13.66
leisure and hospitality,total,2014,M01,1/1/14,14489,26,13.69
leisure and hospitality,total,2014,M02,2/1/14,14509,25.8,13.73
leisure and hospitality,total,2014,M03,3/1/14,14564,26.2,13.75
leisure and hospitality,total,2014,M04,4/1/14,14614,26.2,13.76
leisure and hospitality,total,2014,M05,5/1/14,14670,26.1,13.83
leisure and hospitality,total,2014,M06,6/1/14,14693,26.1,13.9
leisure and hospitality,total,2014,M07,7/1/14,14703,26.1,13.93
leisure and hospitality,total,2014,M08,8/1/14,14725,26.3,13.98
leisure and hospitality,total,2014,M09,9/1/14,14768,26.2,14.03
leisure and hospitality,total,2014,M10,10/1/14,14811,26.2,14.08
leisure and hospitality,total,2014,M11,11/1/14,14849,26.2,14.11
leisure and hospitality,total,2014,M12,12/1/14,14892,26.3,14.13
leisure and hospitality,total,2015,M01,1/1/15,14915,26.3,14.15
leisure and hospitality,total,2015,M02,2/1/15,14972,26.3,14.17
leisure and hospitality,total,2015,M03,3/1/15,14981,26.2,14.22
leisure and hospitality,total,2015,M04,4/1/15,15023,26.2,14.26
leisure and hospitality,total,2015,M05,5/1/15,15103,26.2,14.3
leisure and hospitality,total,2015,M06,6/1/15,15108,26.3,14.3
leisure and hospitality,total,2015,M07,7/1/15,15168,26.2,14.31
leisure and hospitality,total,2015,M08,8/1/15,15201,26.2,14.34
leisure and hospitality,total,2015,M09,9/1/15,15279,26.3,14.38
leisure and hospitality,total,2015,M10,10/1/15,15316,26.3,14.43
leisure and hospitality,total,2015,M11,11/1/15,15374,26.2,14.46
leisure and hospitality,total,2015,M12,12/1/15,15406,26.3,14.52
leisure and hospitality,total,2016,M01,1/1/16,15454,26.2,14.59
leisure and hospitality,total,2016,M02,2/1/16,15494,26.2,14.63
leisure and hospitality,total,2016,M03,3/1/16,15535,26.1,14.67
leisure and hospitality,total,2016,M04,4/1/16,15562,26.1,14.74
leisure and hospitality,total,2016,M05,5/1/16,15583,26.1,14.79
leisure and hospitality,total,2016,M06,6/1/16,15639,26.1,14.86
leisure and hospitality,total,2016,M07,7/1/16,15679,26.1,14.92
leisure and hospitality,total,2016,M08,8/1/16,15725,26,14.98
leisure and hospitality,total,2016,M09,9/1/16,15785,26.2,15.02
leisure and hospitality,total,2016,M10,10/1/16,15780,26,15.08
leisure and hospitality,total,2016,M11,11/1/16,15826,26.1,15.12
leisure and hospitality,total,2016,M12,12/1/16,15845,25.9,15.16
leisure and hospitality,total,2017,M01,1/1/17,15874,26,15.22
leisure and hospitality,total,2017,M02,2/1/17,15917,25.9,15.28
leisure and hospitality,total,2017,M03,3/1/17,15941,26,15.36
leisure and hospitality,total,2017,M04,4/1/17,16006,26.2,15.4
leisure and hospitality,total,2017,M05,5/1/17,16046,26,15.5
leisure and hospitality,total,2017,M06,6/1/17,16087,26,15.47
leisure and hospitality,total,2017,M07,7/1/17,16122,26,15.49
leisure and hospitality,total,2017,M08,8/1/17,16150,26,15.54
leisure and hospitality,total,2017,M09,9/1/17,16140,26,15.59
leisure and hospitality,total,2017,M10,10/1/17,16133,26.1,15.57
leisure and hospitality,total,2017,M11,11/1/17,16160,26.2,15.63
leisure and hospitality,total,2017,M12,12/1/17,16183,26.1,15.71
leisure and hospitality,total,2018,M01,1/1/18,16200,26,15.76
leisure and hospitality,total,2018,M02,2/1/18,16234,26.1,15.74
leisure and hospitality,total,2018,M03,3/1/18,16248,26.1,15.83
leisure and hospitality,total,2018,M04,4/1/18,16251,26.1,15.88
leisure and hospitality,total,2018,M05,5/1/18,16293,26.1,15.89
leisure and hospitality,total,2018,M06,6/1/18,16329,26.1,15.96
leisure and hospitality,total,2018,M07,7/1/18,16335,26,16.02
leisure and hospitality,total,2018,M08,8/1/18,16337,26.1,16.05
leisure and hospitality,total,2018,M09,9/1/18,16296,26,16.07
leisure and hospitality,total,2018,M10,10/1/18,16316,26.1,16.14
leisure and hospitality,total,2018,M11,11/1/18,16336,26,16.2
leisure and hospitality,total,2018,M12,12/1/18,16398,26,16.28
leisure and hospitality,total,2019,M01,1/1/19,16511,26.1,16.31
leisure and hospitality,total,2019,M02,2/1/19,16507,26,16.38
leisure and hospitality,total,2019,M03,3/1/19,16546,26,16.42
leisure and hospitality,total,2019,M04,4/1/19,16565,25.9,16.44
leisure and hospitality,total,2019,M05,5/1/19,16553,25.8,16.51
leisure and hospitality,total,2019,M06,6/1/19,16529,25.9,16.58
leisure and hospitality,total,2019,M07,7/1/19,16519,25.8,16.61
leisure and hospitality,total,2019,M08,8/1/19,16558,25.9,16.6
leisure and hospitality,total,2019,M09,9/1/19,16591,25.9,16.64
leisure and hospitality,total,2019,M10,10/1/19,16647,25.9,16.67
leisure and hospitality,total,2019,M11,11/1/19,16699,25.9,16.76
leisure and hospitality,total,2019,M12,12/1/19,16771,25.8,16.8
leisure and hospitality,total,2020,M01,1/1/20,16881,25.9,16.87
leisure and hospitality,total,2020,M02,2/1/20,16983,25.8,16.89
leisure and hospitality,total,2020,M03,3/1/20,16245,24,16.89
leisure and hospitality,total,2020,M04,4/1/20,8780,24.2,17.98
leisure and hospitality,total,2020,M05,5/1/20,10011,25.9,17.44
leisure and hospitality,total,2020,M06,6/1/20,11791,25.6,17.08
leisure and hospitality,total,2020,M07,7/1/20,12232,25.4,16.94
leisure and hospitality,total,2020,M08,8/1/20,12513,25.9,16.96
leisure and hospitality,total,2020,M09,9/1/20,12946,26.1,17.01
leisure and hospitality,total,2020,M10,10/1/20,13179,26.1,17.04
leisure and hospitality,total,2020,M11,11/1/20,13209,25.6,17.04
leisure and hospitality,total,2020,M12,12/1/20,12749,25.2,17.12
leisure and hospitality,total,2021,M01,1/1/21,12877,25.8,17.2
leisure and hospitality,total,2021,M02,2/1/21,13270,25.3,17.4
leisure and hospitality,total,2021,M03,3/1/21,13423,26.2,17.6
leisure and hospitality,total,2021,M04,4/1/21,13631,26.6,17.8
leisure and hospitality,total,2021,M05,5/1/21,13830,26.4,18.01
leisure and hospitality,total,2021,M06,6/1/21,14054,26.4,18.47
leisure and hospitality,total,2021,M07,7/1/21,14251,26.4,18.6
leisure and hospitality,total,2021,M08,8/1/21,14453,26.3,18.7
leisure and hospitality,total,2021,M09,9/1/21,14587,26.2,18.82
leisure and hospitality,total,2021,M10,10/1/21,14728,26.3,19.19
leisure and hospitality,total,2021,M11,11/1/21,14919,26.2,19.28
leisure and hospitality,total,2021,M12,12/1/21,15105,26.1,19.4
leisure and hospitality,total,2022,M01,1/1/22,15243,25.8,19.43
leisure and hospitality,total,2022,M02,2/1/22,15367,25.9,19.43
leisure and hospitality,total,2022,M03,3/1/22,15471,25.9,19.66
leisure and hospitality,total,2022,M04,4/1/22,15554,26,19.76
leisure and hospitality,total,2022,M05,5/1/22,15638,25.9,19.86
other services,total,2006,M03,3/1/06,5425,31.8,17.46
other services,total,2006,M04,4/1/06,5426,31.8,17.49
other services,total,2006,M05,5/1/06,5433,31.8,17.6
other services,total,2006,M06,6/1/06,5432,31.8,17.59
other services,total,2006,M07,7/1/06,5429,31.7,17.58
other services,total,2006,M08,8/1/06,5432,31.7,17.63
other services,total,2006,M09,9/1/06,5448,31.7,17.73
other services,total,2006,M10,10/1/06,5454,31.5,17.76
other services,total,2006,M11,11/1/06,5455,31.6,17.82
other services,total,2006,M12,12/1/06,5466,31.7,17.88
other services,total,2007,M01,1/1/07,5467,31.6,17.93
other services,total,2007,M02,2/1/07,5474,31.6,17.94
other services,total,2007,M03,3/1/07,5484,31.6,18.02
other services,total,2007,M04,4/1/07,5491,31.4,18.11
other services,total,2007,M05,5/1/07,5496,31.6,18.13
other services,total,2007,M06,6/1/07,5499,31.6,18.24
other services,total,2007,M07,7/1/07,5500,31.5,18.34
other services,total,2007,M08,8/1/07,5496,31.5,18.39
other services,total,2007,M09,9/1/07,5492,31.6,18.4
other services,total,2007,M10,10/1/07,5494,31.5,18.45
other services,total,2007,M11,11/1/07,5505,31.6,18.47
other services,total,2007,M12,12/1/07,5516,31.6,18.48
other services,total,2008,M01,1/1/08,5522,31.6,18.54
other services,total,2008,M02,2/1/08,5533,31.6,18.61
other services,total,2008,M03,3/1/08,5539,31.6,18.69
other services,total,2008,M04,4/1/08,5540,31.6,18.77
other services,total,2008,M05,5/1/08,5536,31.6,18.83
other services,total,2008,M06,6/1/08,5525,31.6,18.9
other services,total,2008,M07,7/1/08,5521,31.5,19.03
other services,total,2008,M08,8/1/08,5513,31.6,19.03
other services,total,2008,M09,9/1/08,5512,31.6,19.08
other services,total,2008,M10,10/1/08,5516,31.6,19.12
other services,total,2008,M11,11/1/08,5476,31.6,19.19
other services,total,2008,M12,12/1/08,5446,31.5,19.26
other services,total,2009,M01,1/1/09,5428,31.6,19.42
other services,total,2009,M02,2/1/09,5411,31.4,19.35
other services,total,2009,M03,3/1/09,5383,31.3,19.47
other services,total,2009,M04,4/1/09,5372,31.3,19.52
other services,total,2009,M05,5/1/09,5369,31.5,19.59
other services,total,2009,M06,6/1/09,5372,31.3,19.59
other services,total,2009,M07,7/1/09,5368,31.4,19.65
other services,total,2009,M08,8/1/09,5359,31.4,19.74
other services,total,2009,M09,9/1/09,5353,31.4,19.84
other services,total,2009,M10,10/1/09,5333,31.4,19.89
other services,total,2009,M11,11/1/09,5324,31.5,19.96
other services,total,2009,M12,12/1/09,5320,31.5,20.03
other services,total,2010,M01,1/1/10,5323,31.9,20.04
other services,total,2010,M02,2/1/10,5316,31.6,20.1
other services,total,2010,M03,3/1/10,5329,31.5,20.12
other services,total,2010,M04,4/1/10,5335,31.6,20.13
other services,total,2010,M05,5/1/10,5330,31.6,20.14
other services,total,2010,M06,6/1/10,5315,31.6,20.19
other services,total,2010,M07,7/1/10,5326,31.7,20.13
other services,total,2010,M08,8/1/10,5323,31.7,20.15
other services,total,2010,M09,9/1/10,5332,31.9,20.17
other services,total,2010,M10,10/1/10,5357,31.7,20.25
other services,total,2010,M11,11/1/10,5346,31.7,20.38
other services,total,2010,M12,12/1/10,5337,31.7,20.32
other services,total,2011,M01,1/1/11,5327,31.7,20.4
other services,total,2011,M02,2/1/11,5337,31.7,20.38
other services,total,2011,M03,3/1/11,5333,31.7,20.33
other services,total,2011,M04,4/1/11,5342,31.7,20.41
other services,total,2011,M05,5/1/11,5346,31.7,20.46
other services,total,2011,M06,6/1/11,5352,31.8,20.5
other services,total,2011,M07,7/1/11,5359,31.8,20.56
other services,total,2011,M08,8/1/11,5376,31.6,20.56
other services,total,2011,M09,9/1/11,5381,31.7,20.57
other services,total,2011,M10,10/1/11,5382,31.8,20.59
other services,total,2011,M11,11/1/11,5390,31.7,20.61
other services,total,2011,M12,12/1/11,5403,31.7,20.62
other services,total,2012,M01,1/1/12,5414,31.7,20.62
other services,total,2012,M02,2/1/12,5415,31.7,20.64
other services,total,2012,M03,3/1/12,5422,31.7,20.7
other services,total,2012,M04,4/1/12,5417,31.7,20.72
other services,total,2012,M05,5/1/12,5417,31.5,20.79
other services,total,2012,M06,6/1/12,5424,31.6,20.81
other services,total,2012,M07,7/1/12,5433,31.5,20.86
other services,total,2012,M08,8/1/12,5431,31.5,20.92
other services,total,2012,M09,9/1/12,5442,31.6,20.96
other services,total,2012,M10,10/1/12,5446,31.6,20.99
other services,total,2012,M11,11/1/12,5449,31.5,21.01
other services,total,2012,M12,12/1/12,5452,31.6,21.08
other services,total,2013,M01,1/1/13,5458,31.5,21.11
other services,total,2013,M02,2/1/13,5456,31.7,21.17
other services,total,2013,M03,3/1/13,5451,31.9,21.2
other services,total,2013,M04,4/1/13,5455,31.8,21.28
other services,total,2013,M05,5/1/13,5470,31.8,21.33
other services,total,2013,M06,6/1/13,5480,31.7,21.39
other services,total,2013,M07,7/1/13,5483,31.7,21.43
other services,total,2013,M08,8/1/13,5494,31.8,21.46
other services,total,2013,M09,9/1/13,5502,31.7,21.54
other services,total,2013,M10,10/1/13,5509,31.7,21.61
other services,total,2013,M11,11/1/13,5513,31.9,21.64
other services,total,2013,M12,12/1/13,5525,31.7,21.68
other services,total,2014,M01,1/1/14,5533,31.7,21.75
other services,total,2014,M02,2/1/14,5535,31.7,21.8
other services,total,2014,M03,3/1/14,5553,31.9,21.73
other services,total,2014,M04,4/1/14,5565,31.9,21.85
other services,total,2014,M05,5/1/14,5566,31.8,21.87
other services,total,2014,M06,6/1/14,5563,31.7,21.96
other services,total,2014,M07,7/1/14,5565,31.7,22.01
other services,total,2014,M08,8/1/14,5580,31.8,22.07
other services,total,2014,M09,9/1/14,5575,31.8,22.08
other services,total,2014,M10,10/1/14,5582,31.8,22.1
other services,total,2014,M11,11/1/14,5590,31.8,22.17
other services,total,2014,M12,12/1/14,5592,31.8,22.19
other services,total,2015,M01,1/1/15,5600,31.9,22.18
other services,total,2015,M02,2/1/15,5605,31.9,22.25
other services,total,2015,M03,3/1/15,5607,31.8,22.35
other services,total,2015,M04,4/1/15,5614,31.8,22.32
other services,total,2015,M05,5/1/15,5623,31.8,22.42
other services,total,2015,M06,6/1/15,5617,31.8,22.54
other services,total,2015,M07,7/1/15,5629,31.8,22.48
other services,total,2015,M08,8/1/15,5620,31.8,22.56
other services,total,2015,M09,9/1/15,5621,31.8,22.6
other services,total,2015,M10,10/1/15,5630,31.9,22.64
other services,total,2015,M11,11/1/15,5638,31.9,22.66
other services,total,2015,M12,12/1/15,5653,31.9,22.72
other services,total,2016,M01,1/1/16,5649,32,22.78
other services,total,2016,M02,2/1/16,5665,31.9,22.81
other services,total,2016,M03,3/1/16,5673,31.9,22.86
other services,total,2016,M04,4/1/16,5679,31.9,22.91
other services,total,2016,M05,5/1/16,5670,31.9,22.97
other services,total,2016,M06,6/1/16,5681,31.9,23.04
other services,total,2016,M07,7/1/16,5689,32,23.1
other services,total,2016,M08,8/1/16,5702,32,23.16
other services,total,2016,M09,9/1/16,5713,31.9,23.16
other services,total,2016,M10,10/1/16,5719,31.9,23.32
other services,total,2016,M11,11/1/16,5729,31.9,23.33
other services,total,2016,M12,12/1/16,5714,31.9,23.38
other services,total,2017,M01,1/1/17,5731,31.7,23.68
other services,total,2017,M02,2/1/17,5743,31.8,23.6
other services,total,2017,M03,3/1/17,5749,31.8,23.55
other services,total,2017,M04,4/1/17,5754,31.8,23.63
other services,total,2017,M05,5/1/17,5766,31.8,23.66
other services,total,2017,M06,6/1/17,5767,31.8,23.71
other services,total,2017,M07,7/1/17,5773,31.7,23.84
other services,total,2017,M08,8/1/17,5774,31.7,23.94
other services,total,2017,M09,9/1/17,5778,31.7,24.09
other services,total,2017,M10,10/1/17,5790,31.7,24.14
other services,total,2017,M11,11/1/17,5802,31.7,24.22
other services,total,2017,M12,12/1/17,5805,31.8,24.33
other services,total,2018,M01,1/1/18,5812,31.6,24.25
other services,total,2018,M02,2/1/18,5818,31.8,24.24
other services,total,2018,M03,3/1/18,5821,31.7,24.35
other services,total,2018,M04,4/1/18,5828,31.8,24.37
other services,total,2018,M05,5/1/18,5843,31.7,24.43
other services,total,2018,M06,6/1/18,5844,31.8,24.46
other services,total,2018,M07,7/1/18,5825,31.8,24.54
other services,total,2018,M08,8/1/18,5825,31.8,24.6
other services,total,2018,M09,9/1/18,5832,31.9,24.72
other services,total,2018,M10,10/1/18,5835,31.9,24.81
other services,total,2018,M11,11/1/18,5835,31.9,24.85
other services,total,2018,M12,12/1/18,5850,31.9,24.9
other services,total,2019,M01,1/1/19,5856,31.9,25.01
other services,total,2019,M02,2/1/19,5860,31.9,24.99
other services,total,2019,M03,3/1/19,5883,31.9,24.98
other services,total,2019,M04,4/1/19,5896,31.8,24.73
other services,total,2019,M05,5/1/19,5894,31.8,25.03
other services,total,2019,M06,6/1/19,5893,31.9,25.09
other services,total,2019,M07,7/1/19,5895,31.9,25.18
other services,total,2019,M08,8/1/19,5894,31.9,25.28
other services,total,2019,M09,9/1/19,5894,31.8,25.34
other services,total,2019,M10,10/1/19,5885,31.9,25.46
other services,total,2019,M11,11/1/19,5906,31.9,25.53
other services,total,2019,M12,12/1/19,5921,31.8,25.59
other services,total,2020,M01,1/1/20,5940,31.9,25.57
other services,total,2020,M02,2/1/20,5951,31.9,25.92
other services,total,2020,M03,3/1/20,5860,31.3,26.12
other services,total,2020,M04,4/1/20,4520,32.2,27.37
other services,total,2020,M05,5/1/20,4756,32.7,27.33
other services,total,2020,M06,6/1/20,5089,32.4,26.8
other services,total,2020,M07,7/1/20,5225,32.1,26.71
other services,total,2020,M08,8/1/20,5276,32.3,26.63
other services,total,2020,M09,9/1/20,5323,32.4,26.67
other services,total,2020,M10,10/1/20,5335,32.4,26.65
other services,total,2020,M11,11/1/20,5330,32.4,26.84
other services,total,2020,M12,12/1/20,5319,32.4,27.1
other services,total,2021,M01,1/1/21,5328,32.6,26.9
other services,total,2021,M02,2/1/21,5339,32.2,27.1
other services,total,2021,M03,3/1/21,5356,32.6,27.22
other services,total,2021,M04,4/1/21,5379,32.4,26.99
other services,total,2021,M05,5/1/21,5395,32.5,27.3
other services,total,2021,M06,6/1/21,5437,32.3,27.55
other services,total,2021,M07,7/1/21,5473,32.3,27.71
other services,total,2021,M08,8/1/21,5502,32.2,27.94
other services,total,2021,M09,9/1/21,5519,32.3,28.03
other services,total,2021,M10,10/1/21,5544,32.4,28.21
other services,total,2021,M11,11/1/21,5580,32.3,28.29
other services,total,2021,M12,12/1/21,5604,32.3,28.42
other services,total,2022,M01,1/1/22,5610,32.2,28.37
other services,total,2022,M02,2/1/22,5648,32.4,28.28
other services,total,2022,M03,3/1/22,5663,32.3,28.11
other services,total,2022,M04,4/1/22,5676,32.3,28.02
other services,total,2022,M05,5/1/22,5692,32.3,28.16
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
