region,industry,employed_count,region_population,percent_of_state_population,year
United States,"Agriculture, forestry, fishing and hunting, and mining",39264,155888980,0.000251872,2020
United States,Construction,199051,155888980,0.001276877,2020
United States,Manufacturing,602535,155888980,0.003865155,2020
United States,Wholesale trade,79521,155888980,0.000510113,2020
United States,Retail trade,348443,155888980,0.0022352,2020
United States,"Transportation and warehousing, and utilities",183556,155888980,0.001177479,2020
United States,Information,43884,155888980,0.000281508,2020
United States,"Finance and insurance, and real estate and rental and leasing",166402,155888980,0.001067439,2020
United States,"Professional, scientific, and management, and administrative and waste management services",272175,155888980,0.001745954,2020
United States,"Educational services, and health care and social assistance",750392,155888980,0.004813631,2020
United States,"Arts, entertainment, and recreation, and accommodation and food services",275836,155888980,0.001769439,2020
United States,"Other services, except public administration",147146,155888980,0.000943915,2020
United States,Public administration,111474,155888980,0.000715086,2020
Alabama,"Agriculture, forestry, fishing and hunting, and mining",29921,2119986,0.014113772,2020
Alabama,Construction,141974,2119986,0.06696931,2020
Alabama,Manufacturing,302005,2119986,0.142456129,2020
Alabama,Wholesale trade,52964,2119986,0.024983184,2020
Alabama,Retail trade,245101,2119986,0.115614443,2020
Alabama,"Transportation and warehousing, and utilities",117530,2119986,0.055439045,2020
Alabama,Information,31100,2119986,0.014669908,2020
Alabama,"Finance and insurance, and real estate and rental and leasing",118006,2119986,0.055663575,2020
Alabama,"Professional, scientific, and management, and administrative and waste management services",204241,2119986,0.096340731,2020
Alabama,"Educational services, and health care and social assistance",480244,2119986,0.226531685,2020
Alabama,"Arts, entertainment, and recreation, and accommodation and food services",176319,2119986,0.083169889,2020
Alabama,"Other services, except public administration",103797,2119986,0.048961172,2020
Alabama,Public administration,116784,2119986,0.055087156,2020
Arizona,"Agriculture, forestry, fishing and hunting, and mining",40288,3215843,0.012527975,2020
Arizona,Construction,227330,3215843,0.07069064,2020
Arizona,Manufacturing,225849,3215843,0.070230108,2020
Arizona,Wholesale trade,73001,3215843,0.022700424,2020
Arizona,Retail trade,387039,3215843,0.120353823,2020
Arizona,"Transportation and warehousing, and utilities",176472,3215843,0.054875813,2020
Arizona,Information,57155,3215843,0.017772945,2020
Arizona,"Finance and insurance, and real estate and rental and leasing",276892,3215843,0.086102462,2020
Arizona,"Professional, scientific, and management, and administrative and waste management services",401554,3215843,0.124867414,2020
Arizona,"Educational services, and health care and social assistance",707882,3215843,0.220123308,2020
Arizona,"Arts, entertainment, and recreation, and accommodation and food services",335600,3215843,0.104358328,2020
Arizona,"Other services, except public administration",150110,3215843,0.046678274,2020
Arizona,Public administration,156671,3215843,0.048718485,2020
Arkansas,"Agriculture, forestry, fishing and hunting, and mining",35004,1309748,0.026725752,2020
Arkansas,Construction,90504,1309748,0.069100315,2020
