,region,industry,employed_count,region_population,percent_of_state_population,year,Code
271,Michigan,"Other services, except public administration",213577,4658357,0.045848139,2020,MI
272,Michigan,Public administration,160798,4658357,0.034518179,2020,MI
273,Minnesota,"Agriculture, forestry, fishing and hunting, and mining",61376,2957615,0.020751856,2020,MN
274,Minnesota,Construction,180652,2957615,0.061080296,2020,MN
275,Minnesota,Manufacturing,397516,2957615,0.134404241,2020,MN
276,Minnesota,Wholesale trade,83238,2957615,0.028143622,2020,MN
277,Minnesota,Retail trade,319237,2957615,0.107937308,2020,MN
278,Minnesota,"Transportation and warehousing, and utilities",137643,2957615,0.046538512,2020,MN
279,Minnesota,Information,46995,2957615,0.015889492,2020,MN
280,Minnesota,"Finance and insurance, and real estate and rental and leasing",214936,2957615,0.072672069,2020,MN
281,Minnesota,"Professional, scientific, and management, and administrative and waste management services",295578,2957615,0.099937957,2020,MN
282,Minnesota,"Educational services, and health care and social assistance",753814,2957615,0.254872253,2020,MN
283,Minnesota,"Arts, entertainment, and recreation, and accommodation and food services",233675,2957615,0.079007917,2020,MN
284,Minnesota,"Other services, except public administration",126435,2957615,0.042748972,2020,MN
285,Minnesota,Public administration,106520,2957615,0.036015506,2020,MN
286,Mississippi,"Agriculture, forestry, fishing and hunting, and mining",28694,1243095,0.023082709,2020,MS
287,Mississippi,Construction,83156,1243095,0.066894324,2020,MS
288,Mississippi,Manufacturing,163939,1243095,0.131879703,2020,MS
289,Mississippi,Wholesale trade,29983,1243095,0.024119637,2020,MS
290,Mississippi,Retail trade,140140,1243095,0.112734747,2020,MS
291,Mississippi,"Transportation and warehousing, and utilities",81316,1243095,0.065414148,2020,MS
292,Mississippi,Information,14477,1243095,0.011645932,2020,MS
293,Mississippi,"Finance and insurance, and real estate and rental and leasing",56316,1243095,0.045303054,2020,MS
294,Mississippi,"Professional, scientific, and management, and administrative and waste management services",86231,1243095,0.069367989,2020,MS
295,Mississippi,"Educational services, and health care and social assistance",316357,1243095,0.254491411,2020,MS
296,Mississippi,"Arts, entertainment, and recreation, and accommodation and food services",117848,1243095,0.094802087,2020,MS
297,Mississippi,"Other services, except public administration",58887,1243095,0.047371279,2020,MS
298,Mississippi,Public administration,65751,1243095,0.052892981,2020,MS
299,Missouri,"Agriculture, forestry, fishing and hunting, and mining",49319,2932918,0.016815676,2020,MO
300,Missouri,Construction,191823,2932918,0.065403465,2020,MO
301,Missouri,Manufacturing,335105,2932918,0.114256519,2020,MO
302,Missouri,Wholesale trade,79004,2932918,0.026936996,2020,MO
303,Missouri,Retail trade,336668,2932918,0.114789435,2020,MO
304,Missouri,"Transportation and warehousing, and utilities",163524,2932918,0.055754713,2020,MO
305,Missouri,Information,52351,2932918,0.017849459,2020,MO
306,Missouri,"Finance and insurance, and real estate and rental and leasing",208501,2932918,0.071089952,2020,MO
307,Missouri,"Professional, scientific, and management, and administrative and waste management services",287027,2932918,0.09786397,2020,MO
308,Missouri,"Educational services, and health care and social assistance",705543,2932918,0.240560084,2020,MO
309,Missouri,"Arts, entertainment, and recreation, and accommodation and food services",257272,2932918,0.087718784,2020,MO
310,Missouri,"Other services, except public administration",139206,2932918,0.047463311,2020,MO
311,Missouri,Public administration,127575,2932918,0.043497636,2020,MO
312,Montana,"Agriculture, forestry, fishing and hunting, and mining",33072,520043,0.063594741,2020,MT
313,Montana,Construction,42680,520043,0.082070137,2020,MT
314,Montana,Manufacturing,25990,520043,0.049976637,2020,MT
315,Montana,Wholesale trade,11009,520043,0.021169403,2020,MT
316,Montana,Retail trade,63971,520043,0.123010982,2020,MT
317,Montana,"Transportation and warehousing, and utilities",27257,520043,0.052412974,2020,MT
318,Montana,Information,8224,520043,0.015814077,2020,MT
319,Montana,"Finance and insurance, and real estate and rental and leasing",28210,520043,0.054245514,2020,MT
320,Montana,"Professional, scientific, and management, and administrative and waste management services",45656,520043,0.08779274,2020,MT
321,Montana,"Educational services, and health care and social assistance",120662,520043,0.232023121,2020,MT
322,Montana,"Arts, entertainment, and recreation, and accommodation and food services",59115,520043,0.113673292,2020,MT
323,Montana,"Other services, except public administration",25014,520043,0.048099869,2020,MT
324,Montana,Public administration,29183,520043,0.056116513,2020,MT
325,Nebraska,"Agriculture, forestry, fishing and hunting, and mining",43549,999772,0.043558931,2020,NE
326,Nebraska,Construction,69761,999772,0.069776909,2020,NE
327,Nebraska,Manufacturing,102384,999772,0.102407349,2020,NE
328,Nebraska,Wholesale trade,26154,999772,0.026159964,2020,NE
329,Nebraska,Retail trade,110109,999772,0.110134111,2020,NE
330,Nebraska,"Transportation and warehousing, and utilities",59007,999772,0.059020457,2020,NE
331,Nebraska,Information,17899,999772,0.017903082,2020,NE
332,Nebraska,"Finance and insurance, and real estate and rental and leasing",75967,999772,0.075984324,2020,NE
333,Nebraska,"Professional, scientific, and management, and administrative and waste management services",88699,999772,0.088719228,2020,NE
334,Nebraska,"Educational services, and health care and social assistance",245352,999772,0.245407953,2020,NE
335,Nebraska,"Arts, entertainment, and recreation, and accommodation and food services",74160,999772,0.074176912,2020,NE
336,Nebraska,"Other services, except public administration",44963,999772,0.044973254,2020,NE
337,Nebraska,Public administration,41768,999772,0.041777525,2020,NE
338,Nevada,"Agriculture, forestry, fishing and hunting, and mining",19815,1425040,0.013904873,2020,NV
339,Nevada,Construction,103255,1425040,0.072457615,2020,NV
340,Nevada,Manufacturing,68651,1425040,0.048174788,2020,NV
341,Nevada,Wholesale trade,29963,1425040,0.021026076,2020,NV
342,Nevada,Retail trade,164356,1425040,0.115334306,2020,NV
343,Nevada,"Transportation and warehousing, and utilities",87835,1425040,0.061636866,2020,NV
344,Nevada,Information,21929,1425040,0.01538834,2020,NV
345,Nevada,"Finance and insurance, and real estate and rental and leasing",79205,1425040,0.055580896,2020,NV
346,Nevada,"Professional, scientific, and management, and administrative and waste management services",163316,1425040,0.114604502,2020,NV
347,Nevada,"Educational services, and health care and social assistance",232486,1425040,0.163143491,2020,NV
348,Nevada,"Arts, entertainment, and recreation, and accommodation and food services",328529,1425040,0.230540195,2020,NV
349,Nevada,"Other services, except public administration",66182,1425040,0.046442205,2020,NV
350,Nevada,Public administration,59518,1425040,0.041765845,2020,NV
351,New Hampshire,"Agriculture, forestry, fishing and hunting, and mining",5551,730223,0.007601787,2020,NH
352,New Hampshire,Construction,50085,730223,0.068588637,2020,NH
353,New Hampshire,Manufacturing,92104,730223,0.126131332,2020,NH
354,New Hampshire,Wholesale trade,19060,730223,0.026101616,2020,NH
355,New Hampshire,Retail trade,89094,730223,0.122009304,2020,NH
